Posted Date,Reference Number,Payee,Address,Amount
01/10/2025,20021122233344455566701,"MEXICAN GRILL 5678 PHOENIX AZ","PHOENIX       AZ ",-31.10
01/12/2025,21122233344455566677802,"DISCOUNT STORE 0009876 PHOENIX","PHOENIX       AZ ",-102.10
01/15/2025,22233344455566677788903,"PHARMACY #8765 PHOENIX AZ","PHOENIX       AZ ",-36.60
01/18/2025,23344455566677788899004,"NATURAL FOODS #0987 PHOENIX AZ","PHOENIX       AZ ",-127.10
01/20/2025,24455566677788899900105,"PETRO STATION 98765432 PHOENIX","PHOENIX       AZ ",-57.95
01/25/2025,25566677788899900111206,"RESORT HOTEL 602-555-1200 AZ","602-555-1200  AZ ",-308.60
01/28/2025,26677788899900111222307,"REGIONAL AIRLINE 877-555-1300","DALLAS        TX ",-340.50
02/02/2025,27788899900111222333408,"VEHICLE RENTAL 555-6789 PHOENIX","PHOENIX       AZ ",-212.40
02/05/2025,28899900111222333444509,"CRM PLATFORM 415-555-1400 CA","SAN FRANCISCO CA ",-140.00
02/08/2025,29900111222333444555610,"WORKFLOW AUTO 888-555-1500 CA","PALO ALTO     CA ",-19.99
02/12/2025,30011122233344455566711,"PROJECT MGMT 415-555-1600 CA","SAN FRANCISCO CA ",-24.79
02/15/2025,31122233344455566677812,"COLLAB WORKSPACE 415-555-1700","SAN FRANCISCO CA ",-16.00
02/18/2025,32233344455566677788913,"DESIGN COLLAB 415-555-1800 CA","SAN FRANCISCO CA ",-14.40
02/20/2025,33344455566677788899014,"DEV TOOLS PRAGUE CZ","PRAGUE        CZ ",-15.92
02/25/2025,34455566677788899900115,"CLOUD PLATFORM WA","SEATTLE       WA ",-231.80
02/28/2025,35566677788899900111216,"CLOUD HOSTING 888-555-1900 NY","NEW YORK      NY ",-12.00
03/05/2025,36677788899900111222317,"DOMAIN REGISTRAR 323-555-2000","LOS ANGELES   CA ",-36.70
03/10/2025,37788899900111222333418,"CDN PROVIDER 888-555-2100 CA","SAN FRANCISCO CA ",-20.00
03/15/2025,38899900111222333444519,"EMAIL SERVICE 303-555-2200 CO","DENVER        CO ",-19.96
03/20/2025,39900111222333444555620,"SMS PLATFORM 415-555-2300 CA","SAN FRANCISCO CA ",-47.10
